Nombre_Base,Nombre_Similar
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX-CANTEL
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEIBA
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- FUNCAFE
CENTRO EDUCATIVO BETANIA,CENTRO EDUCATIVO BETHANIA
COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMATICA,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA
COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMATICA,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA
LICEO PREUNIVERSITARIO DEL NORTE,LICEO PREUNIVERSITARIO DE NORTE
ESCUELA NORMAL DE EDUCACION FISICA,ESCUELA NORMAL DE EDUCACIÓN FÍSICA
COLEGIO MIXTO EVANGELICO NAZARENO,COLEGIO EVANGELICO MIXTO NAZARET
COLEGIO MIXTO EVANGELICO NAZARENO,COLEGIO EVANGÉLICO MIXTO NAZARET
LICEO SAN CRISTOBAL,LICEO SAN CRISTÓBAL
INSTITUTO TECNOLOGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES,INSTITUTO TECNOLÓGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES
COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,COLEGIO MIXTO CIENCIAS TECNOLOGICAS
INSTITUTO TECNOLÓGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES,INSTITUTO TECNOLOGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES
COLEGIO MIXTO CIENCIAS TECNOLOGICAS,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS
LICEO SAN CRISTÓBAL,LICEO SAN CRISTOBAL
COLEGIO CRISTIANO PARTICULAR MIXTO VIDA,COLEGIO PARTICULAR MIXTO CRISTIANO FE VIVA
INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGUE,INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGUE SEPOC
INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE TUKUR,INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE
INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE TUKUR,INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGÜE
COLEGIO PARTICULAR MIXTO DEL VALLE,COLEGIO PARTICULAR MIXTO VALLE DEL URRAM
